Word,Count
*,1782
,828
@ref,602
the,586
to,345
of,334
is,320
@brief,267
in,232
:,230
and,222
/<,194
Socket,178
@ingroup,177
for,164
@param,162
register,161
be,160
It,148
-,148
=,136
address,124
@details,122
data,122
number,118
socket,113
\n,108
or,108
mode,105
function,105
as,96
a,93
should,93
IP,89
@sa,87
with,85
set,83
from,80
Get,78
this,76
n,72
+,70
by,69
OR,69
DHCP,69
not,68
bit,68
packet,67
This,65
~,65
Value,65
<<,64
OF,64
value,61
@return,59
Set,58
size,57
buffer,56
<tr>,55
The,53
<b>0,53
it,53
@b,53
//,52
1,52
when,51
only,50
uint8_t,50
received,48
<td>,47
In,47
TCP,45
W5500,45
If,45
7</b>,44
message,44
(uint8_t)sn,44
WIZCHIP,43
Socket_register_access_function,43
UDP,42
used,42
on,42
For,42
configures,42
interrupt,41
Common_register_access_function,41
#define,41
\ref,41
port,40
THE,40
status,40
use,39
&,38
Interrupt,38
are,38
8),38
Send,38
</tr>,37
bytes,37
0,37
return,37
type,36
command,36
When,36
state,35
can,34
SOCKET,34
interface,33
AND,33
Pointer,33
operation,33
Invalid,33
will,32
indicates,32
ANY,32
uint16_t,32
you,32
timer,31
read,31
server,31
time,31
Valid,31
\mode,\,30
length,30
check,30
</td>,30
MAC,29
following,29
write,29
<,28
@note,28
byte,28
functions,28
M20150401,28
if,27
send,27
W5300,27
No,26
connection,26
source,26
Socket_register_group,26
destination,26
2,26
without,25
PHY,25
Common_register_group,25
SPI,25
after,24
RX,24
conditions,24
timeout,24
IN,24
TX,24
request,23
variable,23
PPPoE,22
(_W5500_IO_BASE_,22
3)),22
must,22
allocated,22
==,21
peer,21
4,21
code,21
that,21
called,21
Type,20
using,20
len,20
Register,20
</td><td>,20
version,20
enable,20
callback,19
changed,19
block,19
A20150601,19
RIP_MSG,19
until,19
extra_functions,19
Enable,19
network,19
client,19
ip,19
provided,18
its,18
WIZnet,18
do,18
explict,18
valid,18
Reserved,18
occurred,18
<td>0</td>,18
wait,18
than,17
get,17
mask,17
<td>O</td>,17
above,17
Success,17
Sn_SR,17
\,17
memory,17
Network,17
load,17
call,17
so,16
an,16
default,16
binary,16
\notice,\,16
receive,16
machine,16
\LIABILITY,\,16
back,16
null,16
your,16
disclaimer,16
*****************************************************************************,16
\TO,\,16
copyright,16
FOR,16
IMPLIED,16
list,16
Redistributions,16
CONTRIBUTORS,16
sn,16
COPYRIGHT,16
LIMITED,16
THIS,16
M20150601,16
NOT,16
BUT,16
ID,16
declaration,15
describe,15
ARP,15
protocol,15
IR,15
IO,15
void,15
1;,15
such,15
clear,15
pointer,15
any,15
sent,15
values,15
process,14
Refer,14
<td>Reserved</td>,14
All,14
history,14
/,14
Sn_IR,14
SSN,14
other,14
access,14
Reset,14
chip,14
</td></tr>,14
Fail,14
io,14
{,14
zero,13
during,13
WIZnet_socket_APIs,13
Sn_MR,13
Define,13
then,13
packet),13
DATA_TYPE,13
(WIZCHIP_CREG_BLOCK,13
disable,13
(@ref,13
Buffer,13
written,13
MACRAW,13
integrating,13
all,13
information,13
name,13
internal,13
Data,13
SOCK_CLOSED,13
control,13
Only,12
GitHub,12
select,12
Mode,12
->,12
0;,12
_RTR_,12
update,12
},12
one,12
Mask,12
casting,12
unit,12
Select,12
clock,12
condition,12
Block,12
parameters,12
I/O,12
Default,12
<table>,11
ACK,11
initialized,11
max,11
wrong,11
SEND,11
A,11
SOCK_BUSY,11
configured,11
changes,11
assign,11
current,11
API,11
corresponding,11
</table>,11
issued,11
option,11
reset,11
-#,11
SIR,11
EEPROM,11
count,11
address(R/W),11
parameter,11
our,11
IF,11
because,11
delay,11
@defgroup,11
(,11
distribution,10
etc,10
returns,10
OPEN,10
),10
hardware,10
updated,10
These,10
help,10
3,10
SOCKERR_SOCKNUM,10
\interrupt,\,10
Release,10
*@param,10
register(R/W),10
_RCR_,10
loop,10
6,10
BE,10
refer,10
processing,10
many,10
Write,10
Disable,10
sensor,10
maximum,10
\functions,\,10
Sn_CR,10
Timeout,10
section,10
flag,10
APIs,10
specific,10
based,10
Destination,10
conflict,10
ignored,9
*<,9
Sn_IMR,9
Receive,9
passed,9
defined,9
on/off,9
starting,9
int,9
SOCKERR_SOCKMODE,9
into,9
initiate,9
\_WIZCHIP_SOCK_NUM_</b>,9
successfully,9
M20140501,9
OPT,9
point,9
(WIZCHIP_SREG_BLOCK(N),9
#if,9
retry,9
second,9
RMS,9
Each,9
setup,9
handler,9
before,9
buf,9
ADC,9
Closing,9
|,9
we,9
no,9
error,9
_IMR_,9
burst,9
completed,9
first,9
level,9
local,9
%x,9
may,9
nor,8
\INCLUDING,\,8
\CONTRACT,\,8
endorse,8
reserved,8
\(INCLUDING,\,8
derived,8
Basic_IO_function,8
Sn_TX_WR,8
\current_uptime_in_seconds,\,8
Red,8
STRICT,8
OTHERWISE),8
SOFTWARE,8
PARTICULAR,8
\modification,\,8
ADVISED,8
\Co.,\,8
products,8
configuration,8
MERCHANTABILITY,8
\DIRECT,\,8
<b>,8
sending,8
POSSIBILITY,8
prior,8
EXPRESS,8
\SOFTWARE,\,8
documentation,8
LIABLE,8
\INDIRECT,\,8
BY,8
Revision,8
1st,8
TORT,8
OUT,8
retain,8
supported,8
Blocking\n,8
\2013,\,8
OWNER,8
HOWEVER,8
new,8
\INCIDENTAL,\,8
unreachable,8
materials,8
DAMAGE,8
GOODS,8
global,8
NO,8
SOCK_ESTABLISHED,8
\"\AS\,8
ARE,8
Sn_TXBUF_SIZE,8
retransmission,8
Berkeley,8
PROVIDED,8
\author,8
SUBSTITUTE,8
reproduce,8
Link,8
<td>1</td>,8
FITNESS,8
Sn_RXBUF_SIZE,8
NEGLIGENCE,8
EVENT,8
INTERRUPTION),8
bytes),8
_WIZCHIP_IO_MODE_,8
Sn_DPORT,8
Read,8
CAUSED,8
software,8
SUCH,8
DISCLAIMED,8
Request,8
@todo,8
PHYCFGR,8
\DATA,\,8
_WIZCHIP_,8
ARISING,8
SHALL,8
MidnightCow,8
Copyright,8
You,8
LOSS,8
BUSINESS,8
EVEN,8
\WARRANTIES,\,8
SIMR,8
contributors,8
permitted,8
Redistribution,8
greater,8
CONSEQUENTIAL,8
Toggle,8
PROCUREMENT,8
form,8
WAY,8
\PORTSetBits(IOPORT_A,\,8
connected,8
critical,8
\EXEMPLARY,\,8
Green,8
have,8
rights,8
Ping,8
\version,8
Neither,8
promote,8
ON,8
PURPOSE,8
THEORY,8
\file,8
\date,8
(c),8
SERVICES;,8
\brief,8
names,8
\USE,\,8
HOLDERS,8
met:,8
<b>TCP,8
WHETHER,8
\forms,\,8
\SPECIAL,\,8
permission,8
\copyright,8
PROFITS;,8
(INCLUDING,8
carry,8
\par,8
\n\n,8
and/or,8
IS,8
LTD,8
receiving,8
<ORGANIZATION>,8
WARRANTIES,8
Sn_KPALVTR,8
\IS"\\,8
DAMAGES,8
USE,8
Sn_RX_RD,7
transmit,7
Rename,7
Close,7
func,7
Register(R/W),7
becomes,7
mode(P[3:0],7
input,7
connect-request,7
communication,7
period,7
Force,7
Sn_MR_MACRAW,7
Solid,7
has,7
\W5300,\,7
automatically,7
Registers,7
Explicit,7
host,7
SOCK_OK,7
