Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,24,8968,4485,2646,573,1075,402,3408,23985,436,3265
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X,24,8968,4485,2646,573,1075,402,3408,23985,436,3265
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers,22,8379,4168,2435,525,986,392,3225,22900,436,3265
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\CURRENT_SENSOR,2,296,180,134,32,45,4,71,684,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\EEPROM,2,205,149,104,27,32,8,24,163,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\MESSAGES,2,345,204,136,23,81,0,60,390,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK,10,7010,3283,1790,401,726,341,3001,21080,436,3265
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Ethernet,6,5420,2250,1066,307,493,211,2677,18615,340,2594
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Ethernet\W5500,2,2432,506,136,13,283,34,1643,10410,99,694
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Internet,2,1181,793,546,69,173,89,215,1778,96,671
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\NETWORK\Internet\DHCP,2,1181,793,546,69,173,89,215,1778,96,671
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\PSEUDO_RTCC,2,141,99,79,6,36,16,6,113,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\TEMPERATURE_SENSOR,2,300,208,159,27,49,11,43,265,0,0
C:\Users\annuszulfiqar\MPLABXProjects\SSN_AMF_290120.X\Drivers\UART,2,82,45,33,9,17,12,20,205,0,0
